problem,relationType,target,label
back_pain,medication,RX_72625,1
diabetes,procedure,PX_XXXXX389,1
gerd,procedure,PX_J1885,1
osteoporosis,lab,LAB_19123-9,1
chronic_kidney_disease,procedure,PX_XXXXX435,1
gout,medication,RX_153823,1
chronic_kidney_disease,lab,LAB_14979-9,1
back_pain,lab,LAB_4537-7,1
hematuria,medication,RX_161,1
syncope,medication,RX_2180,1
back_pain,procedure,PX_72131,2
thrombocytopenia,medication,RX_10180,1
kidney_stone,procedure,PX_52332,2
hypertension,medication,RX_703,1
kidney_stone,medication,RX_596,1
chronic_kidney_disease,medication,RX_105694,2
hypokalemia,lab,LAB_1975-2,1
heart_failure,procedure,PX_XXXXX289,2
syncope,procedure,PX_XXXXX395,2
hematuria,medication,RX_XXXXX25,2
thrombocytopenia,medication,RX_4821,1
headache,lab,LAB_72586-1,1
dermatitis,lab,LAB_63453-5,1
asthma,lab,LAB_6833-8,1
headache,procedure,PX_95004,1
dyslipidemia,procedure,PX_93270,1
uti,procedure,PX_74000,1
thrombocytopenia,medication,RX_301542,1
gout,lab,LAB_736-9,1
hematuria,procedure,PX_XXXXX0,1
dyslipidemia,procedure,PX_XXXXX286,1
uti,lab,LAB_18932-4,2
syncope,procedure,PX_72100,1
seizure_disorder,medication,RX_4301,1
diverticulosis/diverticulitis,procedure,PX_36415,1
seizure_disorder,lab,LAB_789-8,1
diabetes,lab,LAB_2857-1,1
osteoporosis,lab,LAB_731-0,1
thrombocytopenia,lab,LAB_2458-8,1
headache,procedure,PX_90782,1
arthritis,lab,LAB_1988-5,1
rheumatoid_arthritis,medication,RX_5521,2
atrial_fibrillation,medication,RX_6754,1
uterine_fibroid,medication,RX_7824,1
headache,procedure,PX_XXXXX378,1
seizure_disorder,lab,LAB_18282-4,2
cough,medication,RX_723,2
hematuria,procedure,PX_76092,1
chronic_kidney_disease,medication,RX_XXXXX35,1
hematuria,lab,LAB_53317-4,1
atrial_fibrillation,medication,RX_321064,1
thrombocytopenia,lab,LAB_6742-1,1
headache,procedure,PX_20610,1
syncope,medication,RX_82000,1
thyroid_hormone_disorders,procedure,PX_97803,1
thrombocytopenia,procedure,PX_XXXXX0,1
diverticulosis/diverticulitis,lab,LAB_2106-3,1
headache,procedure,PX_XXXXX385,1
seizure_disorder,procedure,PX_XXXXX472,1
headache,medication,RX_61381,1
atrial_fibrillation,lab,LAB_11559-2,1
diabetes,procedure,PX_90746,1
headache,lab,LAB_72594-5,1
copd,lab,LAB_664-3,1
asthma,medication,RX_139462,2
heart_failure,lab,LAB_2340-8,1
thyroid_hormone_disorders,lab,LAB_3051-0,2
thyroid_hormone_disorders,lab,LAB_6892-4,2
diabetes,procedure,PX_76705,1
uti,lab,LAB_18890-4,2
cough,lab,LAB_30934-4,2
coronary_artery_disease,procedure,PX_74240,1
"mood_disorders,_including_depression",lab,LAB_4086-5,2
gerd,medication,RX_4278,2
hematuria,medication,RX_1300786,1
kidney_stone,medication,RX_10180,2
heart_failure,procedure,PX_93280,2
diverticulosis/diverticulitis,procedure,PX_XXXXX301,1
sleep_apnea,procedure,PX_93010,1
chronic_kidney_disease,medication,RX_24909,1
arthritis,procedure,PX_71270,1
sleep_apnea,lab,LAB_787-2,1
coronary_artery_disease,lab,LAB_2345-7,1
"mood_disorders,_including_depression",procedure,PX_XXXXX222,1
headache,medication,RX_231049,2
headache,lab,LAB_17713-9,1
dermatitis,lab,LAB_9588-5,1
"mood_disorders,_including_depression",medication,RX_4850,1
kidney_stone,lab,LAB_42192-5,1
dermatitis,medication,RX_2623,2
thyroid_hormone_disorders,lab,LAB_789-8,1
arthritis,lab,LAB_18961-3,1
thyroid_hormone_disorders,lab,LAB_5385-0,1
kidney_stone,procedure,PX_52000,1
copd,medication,RX_435,2
diabetes,procedure,PX_71020,1
gout,medication,RX_31448,2
heart_failure,lab,LAB_10535-3,2
cough,lab,LAB_788-0,1
thrombocytopenia,lab,LAB_5905-5,1
back_pain,medication,RX_XXXXX80,1
uti,procedure,PX_J1580,1
sleep_apnea,medication,RX_2582,1
back_pain,lab,LAB_34148-7,1
syncope,lab,LAB_895-3,1
gout,lab,LAB_4537-7,1
cholelithiasis,lab,LAB_50196-5,1
anemia,procedure,PX_XXXXX422,2
syncope,lab,LAB_6598-7,2
hypertension,lab,LAB_6768-6,1
uterine_fibroid,lab,LAB_4544-3,1
cholelithiasis,procedure,PX_XXXXX152,2
diabetes,procedure,PX_XXXXX429,1
chronic_kidney_disease,procedure,PX_76700,2
osteoporosis,lab,LAB_63459-2,1
hypertension,procedure,PX_71250,1
rheumatoid_arthritis,lab,LAB_57093-7,1
hypertension,lab,LAB_19123-9,1
sleep_apnea,lab,LAB_14314-9,1
coronary_artery_disease,procedure,PX_36415,1
arthritis,medication,RX_XXXXX101,1
osteoporosis,procedure,PX_XXXXX381,1
hypokalemia,medication,RX_235473,1
"mood_disorders,_including_depression",medication,RX_25480,1
thyroid_hormone_disorders,procedure,PX_XXXXX264,1
osteoporosis,medication,RX_XXXXX24,2
asthma,procedure,PX_XXXXX521,2
uti,lab,LAB_18912-6,1
diverticulosis/diverticulitis,procedure,PX_96361,1
back_pain,medication,RX_4337,2
copd,procedure,PX_93005,2
anemia,medication,RX_XXXXX12,1
back_pain,procedure,PX_73130,1
osteoporosis,lab,LAB_1989-3,1
uti,medication,RX_8704,1
heart_failure,lab,LAB_11559-2,1
copd,procedure,PX_XXXXX410,1
dermatitis,lab,LAB_6098-8,1
dyslipidemia,lab,LAB_2093-3,2
hypokalemia,medication,RX_29046,1
seizure_disorder,lab,LAB_6768-6,1
chronic_kidney_disease,lab,LAB_17856-6,1
thrombocytopenia,lab,LAB_2276-4,1
heart_failure,medication,RX_1191,1
thrombocytopenia,lab,LAB_72586-1,1
thyroid_hormone_disorders,medication,RX_6813,1
coronary_artery_disease,procedure,PX_XXXXX301,1
anemia,medication,RX_136411,1
dyslipidemia,procedure,PX_XXXXX409,2
hematuria,lab,LAB_18868-0,2
anemia,procedure,PX_76092,1
"mood_disorders,_including_depression",lab,LAB_19295-5,2
arthritis,lab,LAB_18919-1,1
copd,medication,RX_25037,1
chronic_kidney_disease,procedure,PX_XXXXX437,1
seizure_disorder,medication,RX_57258,1
gerd,medication,RX_283562,2
dyslipidemia,medication,RX_141626,1
seizure_disorder,procedure,PX_36415,1
cholelithiasis,medication,RX_7052,1
cholelithiasis,medication,RX_8745,1
copd,procedure,PX_J0696,1
arthritis,procedure,PX_73030,2
headache,medication,RX_7226,1
thrombocytopenia,lab,LAB_2340-8,1
coronary_artery_disease,procedure,PX_XXXXX408,2
chronic_kidney_disease,lab,LAB_2524-7,1
thyroid_hormone_disorders,procedure,PX_XXXXX409,1
hypertension,procedure,PX_J1030,1
heart_failure,medication,RX_1808,2
headache,medication,RX_6926,1
copd,lab,LAB_58413-6,1
atrial_fibrillation,lab,LAB_788-0,1
cholelithiasis,lab,LAB_2324-2,1
syncope,procedure,PX_93225,2
seizure_disorder,procedure,PX_XXXXX378,1
diabetes,procedure,PX_76770,1
sleep_apnea,lab,LAB_10535-3,1
arthritis,lab,LAB_26028-1,1
uterine_fibroid,lab,LAB_49024-3,1
rheumatoid_arthritis,medication,RX_3355,2
cough,medication,RX_11124,1
asthma,lab,LAB_6598-7,1
hypertension,lab,LAB_731-0,1
cholelithiasis,medication,RX_7597,1
back_pain,procedure,PX_97001,2
cough,procedure,PX_J7619,2
dyslipidemia,procedure,PX_97802,1
hypertension,medication,RX_253182,1
diabetes,medication,RX_XXXXX130,1
dermatitis,procedure,PX_XXXXX370,1
atrial_fibrillation,medication,RX_4441,2
dermatitis,medication,RX_315431,1
coronary_artery_disease,lab,LAB_785-6,1
asthma,medication,RX_3289,2
sleep_apnea,medication,RX_35827,1
osteoporosis,medication,RX_4337,1
arthritis,procedure,PX_72158,2
gerd,medication,RX_XXXXX110,1
gerd,procedure,PX_XXXXX221,1
thyroid_hormone_disorders,procedure,PX_XXXXX17,1
heart_failure,medication,RX_6916,2
copd,procedure,PX_94729,1
arthritis,medication,RX_28200,2
seizure_disorder,medication,RX_7597,1
heart_failure,medication,RX_67108,2
