problem,code_system,code
anemia,icd10,D464
anemia,icd10,D52
anemia,icd10,D56
anemia,icd10,D60
anemia,icd10,D57
anemia,icd10,D460
anemia,icd10,D53
anemia,icd10,D50
anemia,icd10,P570
anemia,icd10,O9081
anemia,icd10,D58
anemia,icd10,P613
anemia,icd10,P560
anemia,icd10,P55
anemia,icd10,D62
anemia,icd10,D64
anemia,icd10,D63
anemia,icd10,D612
anemia,icd10,D55
anemia,icd10,D462
anemia,icd10,D619
anemia,icd10,D6941
anemia,icd10,D613
anemia,icd10,P614
anemia,icd10,D461
anemia,icd10,O990
anemia,icd10,D611
anemia,icd10,P612
anemia,icd10,D51
anemia,icd10,D59
anemia,icd10,D610
anemia,icd10,D61810
anemia,icd9,64822
anemia,icd9,79009
anemia,icd9,2832
anemia,icd9,2808
anemia,icd9,28310
anemia,icd9,2849
anemia,icd9,28529
anemia,icd9,28269
anemia,icd9,2813
anemia,icd9,2828
anemia,icd9,9928
anemia,icd9,23873
anemia,icd9,64823
anemia,icd9,2810
anemia,icd9,30390
anemia,icd9,2819
anemia,icd9,2772
anemia,icd9,7735
anemia,icd9,4928
anemia,icd9,7732
anemia,icd9,64820
anemia,icd9,28409
anemia,icd9,28732
anemia,icd9,2827
anemia,icd9,2859
anemia,icd9,28522
anemia,icd9,7731
anemia,icd9,27787
anemia,icd9,2738
anemia,icd9,1991
anemia,icd9,28260
anemia,icd9,7730
anemia,icd9,2528
anemia,icd9,28489
anemia,icd9,2830
anemia,icd9,7766
anemia,icd9,28261
anemia,icd9,2823
anemia,icd9,2858
anemia,icd9,2776
anemia,icd9,99989
anemia,icd9,27789
anemia,icd9,2839
anemia,icd9,28249
anemia,icd9,28262
anemia,icd9,28989
anemia,icd9,7733
anemia,icd9,2811
anemia,icd9,28521
anemia,icd9,2812
anemia,icd9,2850
anemia,icd9,28319
anemia,icd9,28411
anemia,icd9,04183
anemia,icd9,2800
anemia,icd9,5778
anemia,icd9,2818
anemia,icd9,2851
anemia,icd9,7839
anemia,icd9,64824
anemia,icd9,64821
anemia,icd9,1369
anemia,icd9,28311
anemia,icd9,7765
anemia,icd9,75659
anemia,icd9,28481
anemia,icd9,2820
anemia,icd9,2814
anemia,icd9,503
anemia,icd9,7734
anemia,icd9,2824
anemia,icd9,28241
anemia,icd9,2840
anemia,icd9,2698
anemia,icd9,9999
anemia,icd9,2809
anemia,icd9,2822
anemia,icd9,28733
anemia,icd9,2801
anemia,icd9,28242
anemia,icd9,2848
anemia,icd9,23872
anemia,icd9,2829
chronic_kidney_disease,icd10,N18
chronic_kidney_disease,icd10,O1032
chronic_kidney_disease,icd10,O1033
chronic_kidney_disease,icd10,O102
chronic_kidney_disease,icd10,O1031
chronic_kidney_disease,icd10,I13
chronic_kidney_disease,icd10,I12
chronic_kidney_disease,icd10,E1122
chronic_kidney_disease,icd10,E0822
chronic_kidney_disease,icd9,25040
chronic_kidney_disease,icd9,V4511
chronic_kidney_disease,icd9,V1309
chronic_kidney_disease,icd9,64221
chronic_kidney_disease,icd9,28521
chronic_kidney_disease,icd9,585
chronic_kidney_disease,icd9,5856
chronic_kidney_disease,icd9,40301
chronic_kidney_disease,icd9,64220
chronic_kidney_disease,icd9,64224
chronic_kidney_disease,icd9,5851
chronic_kidney_disease,icd9,5853
chronic_kidney_disease,icd9,5854
chronic_kidney_disease,icd9,5852
chronic_kidney_disease,icd9,58381
chronic_kidney_disease,icd9,2858
chronic_kidney_disease,icd9,40402
chronic_kidney_disease,icd9,5859
chronic_kidney_disease,icd9,5855
copd,icd10,J983
copd,icd10,J43
copd,icd10,J44
copd,icd9,5198
copd,icd9,V1269
copd,icd9,1369
copd,icd9,49321
copd,icd9,49121
copd,icd9,5181
copd,icd9,51889
copd,icd9,49122
copd,icd9,496
copd,icd9,4920
copd,icd9,4918
copd,icd9,4928
copd,icd9,5182
coronary_artery_disease,icd10,I24
coronary_artery_disease,icd10,I25
coronary_artery_disease,icd10,P294
coronary_artery_disease,icd10,I20
coronary_artery_disease,icd10,I22
coronary_artery_disease,icd10,I237
coronary_artery_disease,icd10,I21
coronary_artery_disease,icd9,41092
coronary_artery_disease,icd9,77989
coronary_artery_disease,icd9,41090
coronary_artery_disease,icd9,41002
coronary_artery_disease,icd9,41041
coronary_artery_disease,icd9,41040
coronary_artery_disease,icd9,41061
coronary_artery_disease,icd9,4142
coronary_artery_disease,icd9,V4581
coronary_artery_disease,icd9,41032
coronary_artery_disease,icd9,99672
coronary_artery_disease,icd9,41030
coronary_artery_disease,icd9,41406
coronary_artery_disease,icd9,41080
coronary_artery_disease,icd9,41082
coronary_artery_disease,icd9,41400
coronary_artery_disease,icd9,41181
coronary_artery_disease,icd9,41011
coronary_artery_disease,icd9,4131
coronary_artery_disease,icd9,25080
coronary_artery_disease,icd9,42979
coronary_artery_disease,icd9,4111
coronary_artery_disease,icd9,41022
coronary_artery_disease,icd9,41000
coronary_artery_disease,icd9,42989
coronary_artery_disease,icd9,41010
coronary_artery_disease,icd9,41072
coronary_artery_disease,icd9,41012
coronary_artery_disease,icd9,41062
coronary_artery_disease,icd9,41001
coronary_artery_disease,icd9,4149
coronary_artery_disease,icd9,41042
coronary_artery_disease,icd9,412
coronary_artery_disease,icd9,41060
coronary_artery_disease,icd9,4130
coronary_artery_disease,icd9,41021
coronary_artery_disease,icd9,4148
coronary_artery_disease,icd9,4139
coronary_artery_disease,icd9,41052
coronary_artery_disease,icd9,41401
coronary_artery_disease,icd9,41050
coronary_artery_disease,icd9,41051
coronary_artery_disease,icd9,45989
coronary_artery_disease,icd9,41071
coronary_artery_disease,icd9,41189
coronary_artery_disease,icd9,41081
coronary_artery_disease,icd9,9971
coronary_artery_disease,icd9,41091
coronary_artery_disease,icd9,41031
coronary_artery_disease,icd9,41020
coronary_artery_disease,icd9,V1259
coronary_artery_disease,icd9,41070
diabetes,icd10,P702
diabetes,icd10,Z8631
diabetes,icd10,E10
diabetes,icd10,E09
