problem,relationType,target,label
anemia,medication,RX_24909,1
anemia,medication,RX_24947,2
anemia,medication,RX_XXXXX85,2
anemia,medication,RX_11248,2
anemia,medication,RX_362,1
anemia,medication,RX_1151,1
anemia,medication,RX_105694,2
anemia,medication,RX_235473,2
anemia,medication,RX_1362,1
anemia,medication,RX_XXXXX51,2
anemia,medication,RX_4511,2
anemia,medication,RX_1596,1
anemia,medication,RX_3264,1
anemia,medication,RX_XXXXX160,1
anemia,medication,RX_9863,1
anemia,medication,RX_5492,1
anemia,medication,RX_82000,1
anemia,medication,RX_82003,1
anemia,medication,RX_XXXXX98,1
anemia,medication,RX_71722,1
anemia,medication,RX_6902,1
anemia,medication,RX_10355,1
anemia,medication,RX_XXXXX41,1
anemia,medication,RX_313663,1
anemia,medication,RX_7806,1
anemia,medication,RX_3423,1
anemia,medication,RX_36387,1
anemia,medication,RX_26225,1
anemia,medication,RX_8704,1
anemia,medication,RX_221147,1
anemia,medication,RX_6579,1
anemia,medication,RX_XXXXX144,1
anemia,medication,RX_2180,1
anemia,medication,RX_XXXXX54,1
anemia,medication,RX_612,1
anemia,medication,RX_XXXXX169,2
anemia,medication,RX_11124,1
anemia,medication,RX_XXXXX65,1
anemia,medication,RX_4018,1
anemia,medication,RX_10829,1
anemia,medication,RX_6754,1
anemia,medication,RX_10156,1
anemia,medication,RX_42351,1
anemia,medication,RX_7804,1
anemia,medication,RX_321988,1
anemia,medication,RX_6813,1
anemia,medication,RX_11289,2
anemia,medication,RX_136411,1
anemia,medication,RX_XXXXX12,1
anemia,medication,RX_596,1
chronic_kidney_disease,medication,RX_105694,2
chronic_kidney_disease,medication,RX_XXXXX54,1
chronic_kidney_disease,medication,RX_XXXXX144,1
chronic_kidney_disease,medication,RX_XXXXX51,1
chronic_kidney_disease,medication,RX_XXXXX160,1
chronic_kidney_disease,medication,RX_1808,2
chronic_kidney_disease,medication,RX_38413,2
chronic_kidney_disease,medication,RX_5470,1
chronic_kidney_disease,medication,RX_1151,1
chronic_kidney_disease,medication,RX_XXXXX162,1
chronic_kidney_disease,medication,RX_4018,1
chronic_kidney_disease,medication,RX_10829,1
chronic_kidney_disease,medication,RX_82003,1
chronic_kidney_disease,medication,RX_83818,1
chronic_kidney_disease,medication,RX_XXXXX101,1
chronic_kidney_disease,medication,RX_32675,1
chronic_kidney_disease,medication,RX_362,1
chronic_kidney_disease,medication,RX_235473,1
chronic_kidney_disease,medication,RX_6960,1
chronic_kidney_disease,medication,RX_1665059,1
chronic_kidney_disease,medication,RX_2418,1
chronic_kidney_disease,medication,RX_6916,1
chronic_kidney_disease,medication,RX_XXXXX35,1
chronic_kidney_disease,medication,RX_4603,2
chronic_kidney_disease,medication,RX_82000,1
chronic_kidney_disease,medication,RX_7417,1
chronic_kidney_disease,medication,RX_9863,1
chronic_kidney_disease,medication,RX_1223,1
chronic_kidney_disease,medication,RX_71722,1
chronic_kidney_disease,medication,RX_1362,1
chronic_kidney_disease,medication,RX_24909,1
chronic_kidney_disease,medication,RX_4337,1
chronic_kidney_disease,medication,RX_50166,1
chronic_kidney_disease,medication,RX_6574,1
chronic_kidney_disease,medication,RX_18867,1
chronic_kidney_disease,medication,RX_6754,1
chronic_kidney_disease,medication,RX_20352,1
chronic_kidney_disease,medication,RX_9997,1
chronic_kidney_disease,medication,RX_XXXXX171,1
chronic_kidney_disease,medication,RX_XXXXX41,1
chronic_kidney_disease,medication,RX_4441,1
chronic_kidney_disease,medication,RX_5224,1
chronic_kidney_disease,medication,RX_7407,1
chronic_kidney_disease,medication,RX_52175,1
chronic_kidney_disease,medication,RX_475968,1
chronic_kidney_disease,medication,RX_3498,1
chronic_kidney_disease,medication,RX_3443,1
chronic_kidney_disease,medication,RX_XXXXX85,1
chronic_kidney_disease,medication,RX_2599,1
chronic_kidney_disease,medication,RX_6387,1
chronic_kidney_disease,medication,RX_136411,1
coronary_artery_disease,medication,RX_4917,2
coronary_artery_disease,medication,RX_6058,2
coronary_artery_disease,medication,RX_6057,2
coronary_artery_disease,medication,RX_XXXXX121,1
coronary_artery_disease,medication,RX_32968,2
coronary_artery_disease,medication,RX_XXXXX64,1
coronary_artery_disease,medication,RX_5224,2
coronary_artery_disease,medication,RX_6960,1
coronary_artery_disease,medication,RX_1223,1
coronary_artery_disease,medication,RX_315431,2
coronary_artery_disease,medication,RX_1191,2
coronary_artery_disease,medication,RX_10975,1
coronary_artery_disease,medication,RX_20352,2
coronary_artery_disease,medication,RX_6918,2
coronary_artery_disease,medication,RX_38413,1
coronary_artery_disease,medication,RX_XXXXX144,1
coronary_artery_disease,medication,RX_11256,1
coronary_artery_disease,medication,RX_612,1
coronary_artery_disease,medication,RX_XXXXX65,2
coronary_artery_disease,medication,RX_1808,1
coronary_artery_disease,medication,RX_50166,2
coronary_artery_disease,medication,RX_703,1
coronary_artery_disease,medication,RX_4301,1
coronary_artery_disease,medication,RX_35296,2
coronary_artery_disease,medication,RX_4337,1
coronary_artery_disease,medication,RX_4603,1
coronary_artery_disease,medication,RX_4419,1
coronary_artery_disease,medication,RX_9863,1
coronary_artery_disease,medication,RX_341248,1
coronary_artery_disease,medication,RX_3407,1
coronary_artery_disease,medication,RX_83366,1
coronary_artery_disease,medication,RX_301542,1
coronary_artery_disease,medication,RX_4511,1
coronary_artery_disease,medication,RX_11170,2
coronary_artery_disease,medication,RX_XXXXX41,1
coronary_artery_disease,medication,RX_7393,1
coronary_artery_disease,medication,RX_9997,1
coronary_artery_disease,medication,RX_83367,1
coronary_artery_disease,medication,RX_313663,1
coronary_artery_disease,medication,RX_36567,1
coronary_artery_disease,medication,RX_1202,2
coronary_artery_disease,medication,RX_XXXXX54,1
